N;wide_area;narrow_area;wide_rel_error;narrow_rel_error;exact_area
56100;0.942385;0.941956;0.225698;0.271129;0.944517
56600;0.941275;0.94322;0.343304;0.137342;0.944517
57100;0.960785;0.945425;1.72233;0.0960816;0.944517
57600;0.938098;0.947982;0.67961;0.36681;0.944517
58100;0.970519;0.94744;2.75293;0.309425;0.944517
58600;0.933371;0.946075;1.18009;0.164941;0.944517
59100;0.937976;0.940482;0.692491;0.427197;0.944517
59600;0.952292;0.946477;0.823133;0.207442;0.944517
60100;0.937252;0.945695;0.769227;0.124666;0.944517
60600;0.952299;0.943379;0.823931;0.120535;0.944517
61100;0.943233;0.943556;0.135912;0.101802;0.944517
61600;0.951991;0.94308;0.791284;0.152123;0.944517
62100;0.959355;0.947323;1.57095;0.297049;0.944517
62600;0.928863;0.939816;1.65737;0.497703;0.944517
63100;0.946925;0.94378;0.254887;0.0780792;0.944517
63600;0.948346;0.939623;0.405391;0.518206;0.944517
64100;0.957632;0.941361;1.38855;0.334142;0.944517
64600;0.939234;0.944698;0.559335;0.0191586;0.944517
65100;0.950986;0.944777;0.684919;0.0275357;0.944517
65600;0.944034;0.944112;0.0511158;0.0428942;0.944517
66100;0.959838;0.942303;1.62205;0.23439;0.944517
66600;0.935115;0.941535;0.995471;0.315706;0.944517
67100;0.925539;0.941039;2.00933;0.368198;0.944517
67600;0.946162;0.942918;0.174123;0.169323;0.944517
68100;0.937787;0.943979;0.712516;0.0569332;0.944517
68600;0.938747;0.943732;0.610944;0.0831544;0.944517
69100;0.952214;0.945514;0.814885;0.10551;0.944517
69600;0.936573;0.940966;0.841054;0.375954;0.944517
70100;0.944594;0.94597;0.00810992;0.15382;0.944517
70600;0.922481;0.945945;2.33305;0.151218;0.944517
71100;0.947853;0.946519;0.35322;0.211939;0.944517
71600;0.944765;0.945653;0.0261975;0.120246;0.944517
72100;0.94455;0.943291;0.00350738;0.129867;0.944517
72600;0.943803;0.940823;0.075581;0.391119;0.944517
73100;0.952376;0.944785;0.832063;0.0283061;0.944517
73600;0.972853;0.949406;3.00002;0.517554;0.944517
74100;0.95448;0.94445;1.05485;0.00710611;0.944517
74600;0.957596;0.946532;1.38476;0.213264;0.944517
75100;0.952127;0.942127;0.805702;0.253042;0.944517
75600;0.943258;0.946048;0.133304;0.162103;0.944517
76100;0.933995;0.944448;1.11407;0.00731498;0.944517
76600;0.946682;0.94499;0.229184;0.0500809;0.944517
77100;0.939282;0.946563;0.554313;0.216589;0.944517
77600;0.920701;0.944894;2.52149;0.0398616;0.944517
78100;0.940201;0.947055;0.456981;0.268695;0.944517
78600;0.94461;0.942271;0.0098099;0.237814;0.944517
79100;0.943432;0.944248;0.11487;0.0285223;0.944517
79600;0.948254;0.942415;0.395632;0.222546;0.944517
80100;0.957749;0.941651;1.40092;0.303449;0.944517
80600;0.955909;0.94465;1.20608;0.014009;0.944517
81100;0.939586;0.944713;0.522065;0.0207652;0.944517
81600;0.946458;0.948866;0.205471;0.460472;0.944517
82100;0.958811;0.943636;1.51339;0.093315;0.944517
82600;0.933352;0.943447;1.18213;0.113269;0.944517
83100;0.967396;0.94466;2.42225;0.0151254;0.944517
83600;0.934863;0.944991;1.02213;0.0501677;0.944517
84100;0.934738;0.941602;1.03535;0.308616;0.944517
84600;0.953691;0.94573;0.971256;0.128396;0.944517
85100;0.943746;0.94361;0.0816119;0.0959991;0.944517
85600;0.949818;0.941341;0.561256;0.336325;0.944517
86100;0.939786;0.941536;0.500912;0.31563;0.944517
86600;0.949964;0.942538;0.576724;0.209595;0.944517
87100;0.941386;0.943197;0.331528;0.139723;0.944517
87600;0.936235;0.946318;0.876912;0.190712;0.944517
88100;0.94946;0.945446;0.523326;0.0982863;0.944517
