ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
14700;5687;3231;2489;2180;2333;2303;3139
14800;5748;3092;2486;2169;2517;5626;6868
14900;5748;3137;2547;2241;2349;2378;3213
15000;5828;3171;2513;2232;2378;2380;3256
15100;5923;3207;2533;2271;2407;2390;3273
15200;5915;3159;2515;2254;2439;2424;3341
15300;5924;3141;2553;2284;2490;2456;3368
15400;5954;3174;2616;2287;2484;2503;3401
15500;6026;3216;2581;2298;2448;2489;3431
15600;6017;3268;2598;2318;2427;2609;3480
15700;6122;3270;2633;2385;2454;2569;3535
15800;6127;3264;2650;2340;2377;2568;3555
15900;6180;3269;2652;2370;2391;2587;3592
16000;6195;3308;2650;2411;2428;2588;3627
16100;6214;3295;2666;2416;2412;2764;3825
16200;6229;3343;2710;2451;2411;2673;3684
16300;6288;3293;2676;2513;2473;2677;3729
16400;6272;3340;2677;2458;2444;2800;3757
16500;6434;3346;2727;2469;2479;2714;3848
16600;6443;3372;2755;2499;2477;2770;3986
16700;6448;3370;2836;2501;2505;2745;3881
16800;6518;3394;2751;2510;2519;2858;3985
16900;6556;3416;2841;2523;2511;2830;3960
17000;6612;3427;2783;2567;2543;2867;4005
17100;6696;3446;2821;2557;2555;2868;4064
17200;6662;3469;2808;2582;2596;2903;4162
17300;6751;3554;2813;2585;2595;2917;4186
17400;6801;3513;2840;2592;2625;2953;4188
17500;6828;3556;2848;2627;2612;2963;4216
17600;6827;3519;2876;2686;2668;2996;4232
17700;6917;3531;2926;2669;2675;3009;4292
17800;7056;3549;2927;2672;2728;3106;4589
17900;7011;3817;2940;2684;2698;3171;4373
18000;7067;3557;2974;2733;2707;3097;4407
18100;7053;3572;2944;2715;2727;3095;4445
18200;7442;3592;2973;2802;2709;3164;4506
18300;7439;3678;3013;2744;2756;3144;4566
18400;7132;3574;2979;2770;2780;4031;6891
18500;7241;3648;3069;2785;2774;3255;5043
18600;7267;3634;3110;2827;2929;3286;4727
18700;7753;3707;3079;2972;2840;3278;4695
18800;7555;3686;3097;2962;3139;3353;4905
18900;7439;3788;3177;2847;2972;3316;4942
19000;7584;3937;3222;3093;2957;3413;4982
19100;7615;3772;3124;2895;3035;3429;5007
19200;7641;3741;3121;2908;2959;3406;4976
19300;7720;3754;3165;2941;2968;3416;4976
19400;7699;3760;3153;2903;2941;3512;5029
19500;7670;3776;3295;2995;3038;3573;5155
19600;7686;3862;3203;3026;3028;3575;5129
19700;7773;3906;3199;2988;3001;3528;5133
19800;7825;3854;3229;3036;2996;3605;5375
19900;7831;3935;3226;3041;3095;3600;5245
20000;7840;3895;3245;3038;3045;3605;5269
20100;7974;3886;3250;3080;3108;3611;5407
20200;7916;3891;3384;3083;3147;3683;5392
20300;7941;3915;3265;3086;3081;3684;5492
20400;7983;3989;3272;3234;3224;3743;5517
20500;7979;3960;3310;3138;3129;3733;5505
20600;8155;3985;3350;3154;3169;3794;5695
20700;8164;4033;3465;3216;3236;3819;5608
20800;8463;4474;3438;3238;3177;3892;5751
20900;8248;4186;3493;3292;3225;3851;5744
21000;8514;4191;3534;3963;3219;3856;5800
21100;8513;4385;3594;3339;3227;3957;5782
21200;8480;4286;3633;3364;3266;3966;6019
21300;8504;4373;3676;3394;3266;3984;5906
21400;8479;4358;3708;3518;3330;4091;6000
21500;8726;4394;3748;3432;3307;4116;6009
21600;8592;4445;3822;3544;3313;4068;6192
21700;8545;4534;3851;3480;3335;4127;6162
21800;8859;4551;3961;3507;3412;4100;6224
21900;8649;4640;3957;3497;3399;4138;6323
22000;8713;4636;4017;3504;3431;4151;6300
22100;8704;4682;4142;3524;3421;4182;6335
22200;8903;4723;4133;3552;3466;4239;6462
22300;8820;4715;4135;3570;3454;4237;6431
22400;8844;4786;4248;3572;3481;4329;6511
22500;8909;5292;4415;3576;3495;4335;6495
22600;8968;4846;4292;3608;3536;4347;6548
22700;9009;4913;4242;3635;3641;4422;6633
22800;8985;4953;4353;3651;3536;4409;6645
22900;9081;4976;4359;3639;3585;4470;6756
23000;9262;5192;4563;3729;3553;4519;6790
23100;9117;5083;4304;3685;3631;4485;6830
23200;9241;5173;4352;3704;3610;4505;6919
23300;9262;5144;4354;3707;3752;4582;6929
23400;9231;5201;4499;3721;3674;4629;6964
23500;9259;5270;4368;3728;3697;4604;7041
23600;9330;5316;4402;3738;3699;4628;7267
23700;9356;5439;4500;4088;3780;4668;7202
23800;9423;5342;4458;3802;3774;4709;7184
23900;9404;5452;4422;3898;3759;5008;7275
24000;9875;5460;4463;3812;3815;4739;7310
24100;9826;5689;4476;3907;3929;4893;8889
24200;9732;5587;4475;3847;3810;4978;7499
24300;9949;5662;4736;3985;3894;4935;7589
24400;9645;5650;4473;4117;3910;4896;7497
24500;9657;5695;4504;3885;3869;4920;7602
24600;9681;5729;4538;3929;3938;4949;7710
24700;9738;5692;4534;3970;3942;5035;7711
24800;9804;5739;4837;3947;4074;5178;7779
24900;9855;5758;4600;4552;3980;5078;7795
25000;9907;5804;4631;3992;4034;5167;7864
25100;10057;5774;4600;3977;4123;5105;7948
25200;10118;5795;4626;3994;4108;5142;7990
25300;10032;5792;4630;4026;4086;5270;8021
25400;10101;5918;4678;4030;4076;5327;8068
25500;10062;5904;4659;4048;4063;5287;8109
25600;10183;5888;4685;4042;4116;5258;8249
25700;10165;5903;4731;4085;4158;5103;7157
25800;10226;5933;4738;4140;4254;4919;6012
25900;10403;6023;4747;4143;4189;4652;5386
26000;10323;5943;4753;4135;4202;4443;5388
26100;15896;6015;4737;4198;4203;4227;5493
26200;10396;6039;4789;4173;4278;4249;5482
26300;10434;6041;4796;4293;4273;4297;5492
26400;10543;5986;4853;4175;4383;4309;5571
26500;10650;5999;4793;4620;4363;4333;5548
26600;10576;6032;4775;4262;4336;4316;5619
26700;10588;6058;4829;4278;4335;4492;5634
26800;10799;6069;5126;4325;4395;4547;5674
26900;10718;6094;4887;4270;4472;4394;5697
27000;10798;6111;4893;4309;4423;4459;5722
27100;10839;6115;4963;5445;5638;4717;5814
27200;10844;6184;5101;4372;4629;4480;5882
27300;10901;6218;4955;4331;4487;4480;5920
27400;10855;6217;5095;4383;4506;4531;5872
27500;10910;6228;4976;4376;4516;4497;5996
27600;10990;6179;4983;4391;4523;4546;5952
27700;11021;6219;5120;4407;4559;4554;5959
27800;11041;6292;5045;4397;4632;4601;6045
27900;11108;6244;5165;4745;4736;4599;6087
28000;11329;6305;11609;8399;4682;4676;6106
28100;11187;6299;5069;4493;4671;5277;7780
28200;11204;6342;5078;4518;4693;4666;6156
28300;11301;6327;5132;4566;4746;4704;6220
28400;11355;6354;5187;4507;4685;4726;6275
28500;11351;6298;5160;4531;4814;4720;6254
28600;11386;6290;5186;4629;4735;4758;6291
28700;11374;6414;5117;4711;4759;5034;6375
28800;11504;6495;5173;4574;4826;4802;6391
28900;11494;6681;5208;4583;4869;4804;6410
29000;11682;6424;5174;4700;4829;4872;6555
29100;11664;6427;5198;4680;5433;4894;6647
29200;11789;6920;5361;4899;5231;4985;6737
29300;11733;6485;5220;4706;4906;5013;6580
29400;11950;6417;5276;4706;4999;4942;6625
29500;11832;6485;5280;4719;4984;4961;6667
29600;11738;6538;5283;4699;4960;4992;6661
29700;11903;6497;5335;4745;5074;5007;6715
29800;11846;6537;5330;4787;5054;5060;6739
29900;11884;6561;5308;4899;5108;5074;6824
30000;11912;6565;5399;4763;5066;5082;6835
30100;11961;6606;5404;4846;5132;5099;6858
30200;12009;6577;5378;4838;5124;5176;6884
30300;11997;6615;5382;4802;5238;5453;7196
30400;12226;6682;5368;4868;5174;5168;6948
30500;12204;6687;5381;4855;5201;5236;6991
30600;12088;6679;5399;4858;5192;5300;7041
30700;15323;6676;5424;4889;5282;5307;7183
30800;12286;6749;5460;4886;5250
