ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
15000;5903;3239;2634;2188;1925;1878;1684
15100;5960;3306;2615;2215;1893;1923;1675
15200;6014;3276;2617;2211;1908;1950;1709
15300;6074;3400;2621;2212;1950;1922;1703
15400;6041;3305;2647;2223;1980;1936;1726
15500;6156;3324;2659;2254;2021;1981;1710
15600;6117;3328;2671;2258;2158;1962;1753
15700;6137;3362;2729;2263;2243;1985;1735
15800;6250;3352;2699;2313;2258;2029;1768
15900;6249;3397;2760;2340;2332;2006;1772
16000;6317;3379;2732;2300;2323;2012;1764
16100;6349;3425;2747;2383;2313;2063;1793
16200;6740;3467;2756;2343;2349;2029;1791
16300;6404;3419;2776;2388;2333;2046;1800
16400;6425;3406;2755;2386;2362;2041;1906
16500;6481;3474;2797;2371;2430;2073;1820
16600;7023;3521;2840;2391;2377;2102;1879
16700;6539;3561;2919;2432;2406;2077;1881
16800;6603;3504;2842;2502;2428;2147;1873
16900;6638;3651;2858;2417;2426;2118;1865
17000;6721;3542;2900;2529;2493;2141;1893
17100;6786;3592;2878;2466;2456;2153;1913
17200;6784;3602;2912;2470;2538;2159;1921
17300;6963;3593;2906;2469;2499;2180;1947
17400;7030;3577;2909;2482;2477;2181;1969
17500;7007;3647;2952;2549;2506;2182;1962
17600;6971;3642;2957;2509;2526;2209;1974
17700;7034;3765;3072;2540;2563;2239;1982
17800;7101;3677;2971;2583;2596;2220;1963
17900;7092;3681;3004;2588;2649;2259;1982
18000;7143;3805;3029;2559;2633;2264;2016
18100;7309;3708;3035;2686;2800;2258;2029
18200;7236;3685;3057;2601;2882;2281;2020
18300;7413;3793;3073;2606;2626;2283;2022
18400;7363;3784;3081;2642;2619;2292;2056
18500;7394;3814;3234;2690;2653;2400;2051
18600;7403;3845;3091;2679;2922;2327;2069
18700;7579;3810;3134;2702;2695;2369;2070
18800;7674;3929;3262;2688;2722;2380;2122
18900;7529;3871;3188;2678;2739;2375;2141
19000;7772;3964;3179;2944;2957;2404;2113
19100;7718;3865;3283;2780;2746;2465;2153
19200;7644;3929;3179;2724;2746;2400;2143
19300;7900;3884;3203;2763;2751;2411;2136
19400;7747;3885;3250;2782;2762;2402;2160
19500;7935;3927;3254;2811;2773;2485;2180
