ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
14300;6624;4114;3560;3188;3114;3091;3328
14400;6677;4153;3556;3263;3201;3117;3329
14500;6740;4160;3592;3297;3156;3154;3375
14600;6762;4374;3646;3285;3181;3204;3418
14700;6798;4232;3657;3307;3208;3196;3424
14800;6881;4439;3846;3314;3227;3218;3464
14900;6933;4362;3693;3383;3261;3232;3490
15000;6974;4308;3758;3378;3279;3284;3515
15100;7045;4406;3734;3403;3292;3325;3620
15200;7183;4351;3757;3411;3344;3321;3651
15300;7098;4391;3774;3440;3334;3415;3620
15400;7174;4475;3809;3471;3378;3481;3652
15500;7273;4654;3833;3513;3452;3429;3674
15600;7297;4455;3854;3546;3456;3445;3710
15700;7298;4557;3903;3553;3492;3429;3742
15800;7430;4540;3894;3538;3567;3482;3759
15900;7425;4537;3965;3570;3561;3502;3914
16000;7469;4563;3978;3593;3599;3526;3819
16100;7543;4558;4029;3649;3620;3649;3903
16200;7540;4592;3975;3653;3634;3598;3957
16300;7618;4657;4031;6268;4235;3607;3918
16400;7601;4615;4029;3673;3681;3626;3950
16500;7719;4687;4049;3741;3716;3764;3983
16600;7818;4675;4095;4056;3717;3731;4023
16700;7841;4788;4311;3801;3751;3725;4043
16800;7833;4762;4102;3777;3787;3701;4140
16900;7915;4772;4138;3819;3802;3760;4163
17000;7957;4821;4169;3829;3837;3799;4290
17100;8004;4802;4168;3971;3845;3796;4190
17200;8084;4932;4206;3894;4263;3941;4255
17300;8114;4904;4227;3891;3912;3909;4305
17400;8269;5069;4216;3878;4097;3872;4382
17500;8184;4945;4278;4272;3932;3919;4343
17600;8298;4996;4364;4141;3953;4034;4371
17700;8377;4993;4384;4041;3992;3951;4415
17800;8339;5061;4395;4008;4044;4018;4404
17900;8443;5014;4390;4025;4058;3996;4464
18000;8457;5044;4407;4185;4091;4058;4509
18100;8581;5065;4411;4154;4068;4066;4521
18200;8572;5040;4419;4089;4133;4116;4526
18300;8631;5172;4453;4222;4123;4119;4594
18400;8623;5112;4454;4175;4134;4141;4627
18500;8814;5220;4644;4148;4185;4192;4655
18600;8754;5241;4540;4216;4243;4222;4715
18700;8912;5442;4605;4401;4304;4386;4768
18800;9145;5242;4563;4338;4341;4248;4947
18900;9129;5267;4775;4375;4294;4372;4917
19000;9060;5545;4760;4308;4411;4293;4893
19100;9081;5655;4700;4382;4431;4339;4919
19200;9163;5379;4719;4385;4438;4377;4964
19300;9187;5327;4674;4350;4427;4373;4928
19400;9302;5368;5181;8170;5181;4400;4961
19500;9256;5394;4757;4447;4395;4512;4995
19600;9326;5415;4801;4420;4451;4446;5044
19700;9317;5435;4811;4453;4515;4500;5065
19800;9360;5459;4906;4565;4513;4506;5116
19900;9456;5538;4817;4510;4509;4525;5164
20000;9501;5552;4850;4903;4522;4695;5182
20100;9486;5543;4934;4569;4571;4588;5226
20200;9496;5625;4873;4590;4603;4610;5287
20300;9602;5574;4905;4601;4714;4660;5234
20400;9685;5596;4993;4937;4641;4715;5323
20500;9688;5611;4981;4634;4647;4731;5358
20600;10297;5811;5047;4747;4673;4723;5358
20700;9731;5757;5071;4862;4787;4786;5399
20800;9797;5807;5211;4821;4766;4762;5522
20900;10174;5837;5215;4925;4798;4816;5461
21000;9931;6060;5262;5001;4807;4857;5580
21100;9951;5967;5354;5019;4856;4860;5545
21200;10097;6033;5402;5049;4860;4910;5625
21300;10047;6116;5420;5161;4856;4898;5628
21400;10219;6117;5545;5121;4887;4935;5873
21500;10262;6191;5881;5262;4874;5062;6003
21600;10302;6213;5645;5243;4936;5095;5780
21700;10349;6316;5714;5253;4960;5064;5762
21800;10405;6430;5732;5565;5069;5060;5799
21900;10482;6403;5826;5306;4995;5115;5866
22000;10449;6745;5922;5364;5015;5173;5911
22100;10551;6497;5893;5341;5037;5125;5902
22200;10584;6557;5958;5353;5079;5234;6062
22300;10711;6611;6032;5391;5059;5230;6091
22400;10680;6677;6033;5387;5119;5223;6015
22500;10699;6647;6109;5550;5167;5249;6136
22600;10759;6784;6109;5454;5162;5285;6095
22700;10823;6758;6179;5632;5183;5324;6147
22800;10807;6801;6211;5509;5200;5373;6297
22900;10928;6911;6201;5501;5487;5416;6242
23000;10950;7038;6317;5546;5349;5406;6248
23100;11038;7080;6278;5547;5299;5429;6400
23200;11228;7020;6357;5595;5293;5514;6405
23300;11087;7102;6383;5647;5387;5504;6376
23400;11469;7173;6403;5719;5368;5516;6445
23500;11295;7167;6403;5657;5388;5591;6505
23600;11260;7211;6681;5760;5404;5559;6524
23700;11978;7408;6410;5761;5498;5652;6587
23800;11497;7395;6462;5816;5453;5622;6607
23900;11463;7500;6481;5760;5500;5694;6620
24000;11477;7398;6461;5880;5502;5728;6649
24100;11605;7551;6490;5837;5523;5790;6699
24200;12291;7722;6769;6234;5737;5941;6859
24300;12067;7696;6675;5929;5919;5873;6931
24400;11860;7641;6549;5890;5599;6043;6951
24500;11685;7687;6591;5856;5663;6019;6848
24600;11859;7680;6821;5918;5630;5902;6927
24700;11793;7780;6641;5968;5712;5894;7043
24800;11799;7795;6652;6004;5719;5926;7058
24900;11900;7794;6668;5991;5735;6366;7002
25000;11933;7896;6763;6040;5817;6127;7222
25100;23576;10377;6722;6028;5844;6091;7188
25200;12090;7885;6762;6060;5831;6112;7126
25300;12114;7944;6844;6124;5802;6131;7176
25400;12067;7998;6806;6095;5854;6124;7254
25500;12159;7964;6923;6192;5842;6201;7268
25600;12347;7969;6961;6134;5874;6221;7319
25700;12304;8017;6910;6171;5977;6203;6921
25800;12343;8038;6979;6211;5946;6106;6508
25900;12424;8061;6980;6265;6023;6097;6301
26000;12514;8198;6952;6263;5981;6105;6270
26100;12574;8330;6967;6332;6084;6059;11286
26200;13572;8250;7044;6309;10517;7765;6338
26300;12563;8214;7039;6303;6061;6148;6410
26400;19119;8261;7052;6321;6134;6120;6419
26500;12761;8289;7060;6365;6150;6167;6543
26600;12716;8282;7079;6382;6158;6161;6451
26700;12758;8450;7236;6403;6198;6209;6500
26800;12811;8318;7119;6449;6214;6212;6621
26900;12928;8354;7277;6502;6229;6262;6544
27000;12966;8411;7292;6522;6404;6248;6606
27100;13021;8475;7475;6576;6562;6370;6611
27200;13497;8467;7324;6626;6286;6314;6712
27300;13688;8980;7919;6601;6469;6439;6685
27400;13199;8482;7281;6586;6363;6418;6686
27500;13186;9095;7339;6609;6383;6362;6731
27600;13274;8504;7398;6627;6522;6529;6779
27700;13602;8538;7375;6669;6485;6425;6811
27800;13369;8558;7400;6687;6435;6466;6852
27900;13505;8586;7423;7150;6521;6486;6894
28000;13520;8617;7409;6768;6760;6546;6902
28100;13529;8607;7468;6749;6575;6597;6911
28200;13719;8671;7521;6782;6747;6557;6949
28300;13745;8822;7574;6958;6603;6606;7003
28400;13726;8660;7786;6880;6586;6699;7048
28500;13739;8629;7577;6832;6628;6713;7061
28600;13823;8693;7577;6944;6647;6638;7102
28700;13797;8805;7584;6886;6686;6729;7147
28800;13809;8783;7608;6916;6716;6703;7229
28900;16199;14279;7651;6999;6794;6758;7227
29000;13977;8840;7658;6988;6747;6778;7194
29100;13927;9047;7957;7055;6826;6783;10473
29200;14438;9178;7980;7293;7034;7018;7650
29300;14256;9393;7841;7379;6924;7036;7549
29400;14136;8949;7786;7144;6930;6931;7345
29500;14262;9060;7866;7098;6988;6977;7358
29600;14248;9056;7792;7179;6925;6892;7406
29700;17362;9027;7810;7192;7094;6932;7416
29800;14345;9061;7847;7189;6980;6984;7460
29900;14393;9552;7912;7204;7023;7037;7544
30000;14538;9098;8049;7302;7059;7298;7517
30100;14466;9143;7951;7285;7073;7054;7663
30200;14539;9173;7958;7266;7120;7163;7589
30300;14610;9191;7985;7279;7117;7132;7590
30400;14869;9181;8182;7360;7184;7146;7604
30500;14966;9246;8007;7313;7117
